task,model,n,seed,em,f1,tokens,time_ms_per_100
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,1.0,3225,154.12434043413273
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.96,0.96,3262,121.61355242183639
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.52,0.52,6259,100.31085283592009
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.0,0.0,11637,1411.2711353871196
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.0,0.3066666666666666,38534,58.8617691934418
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.14,0.27353383458646613,3022,235.93366482464654
