task,model,n,seed,em,f1,tokens,time_ms_per_100
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.18666666666666665,2223,253.28740499325178
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.92,0.92,2200,177.544773681823
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.98,0.16571428571428573,15336,73.004419001042
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.62,0.3324761904761905,2193,313.3609176014627
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.64,0.34380952380952384,2190,307.28628557075496
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.66,0.26585714285714285,2192,307.6257836222758
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.56,0.3444285714285714,2200,316.08281445452036
